PRECIPITACAO_TOTAL_HORARIO_mm,TEMPERATURA_DO_AR_BULBO_SECO_HORARIA,UMIDADE_RELATIVA_DO_AR_HORARIA_porcent,VENTO_DIRECAO_HORARIA
0.0,21.8,79.0,117.0
0.0,21.8,79.0,135.0
0.0,20.8,83.0,131.0
0.0,21.2,81.0,120.0
0.0,20.9,81.0,133.0
0.0,20.5,87.0,134.0
0.0,20.0,90.0,127.0
0.0,20.1,91.0,93.0
0.0,20.0,91.0,83.0
0.0,19.6,92.0,335.0
0.0,20.5,92.0,308.0
0.0,22.7,79.0,151.0
0.0,23.4,76.0,180.0
0.0,24.2,69.0,228.0
0.2,25.6,61.0,160.0
2.6,22.5,83.0,326.0
2.6,24.6,69.0,120.0
3.6,22.2,82.0,100.0
5.0,20.9,85.0,138.0
2.2,21.3,86.0,131.0
0.0,22.3,79.0,104.0
0.0,21.5,80.0,13.0
0.0,19.9,83.0,17.0
0.0,19.4,86.0,352.0
0.0,19.5,88.0,204.0
0.2,19.0,90.0,297.0
0.0,19.2,92.0,350.0
0.0,19.5,92.0,6.0
0.2,19.6,90.0,41.0
0.0,19.1,92.0,227.0
0.0,18.7,93.0,156.0
0.0,18.6,91.0,160.0
0.0,18.1,91.0,48.0
0.0,18.3,94.0,354.0
0.0,19.5,94.0,299.0
0.0,22.5,77.0,296.0
0.0,25.0,62.0,237.0
0.0,25.9,58.0,216.0
0.2,26.5,53.0,234.0
0.0,23.9,65.0,20.0
0.0,24.5,69.0,56.0
0.0,21.8,76.0,289.0
0.1907210604502342,21.13339046966061,65.68095074848588,147.35035995886184
0.1907210604502342,21.13339046966061,65.68095074848588,147.35035995886184
0.1907210604502342,21.13339046966061,65.68095074848588,147.35035995886184
0.1907210604502342,21.13339046966061,65.68095074848588,147.35035995886184
0.1907210604502342,21.13339046966061,65.68095074848588,147.35035995886184
0.1907210604502342,21.13339046966061,65.68095074848588,147.35035995886184
0.1907210604502342,21.13339046966061,65.68095074848588,147.35035995886184
0.1907210604502342,21.13339046966061,65.68095074848588,147.35035995886184
0.1907210604502342,21.13339046966061,65.68095074848588,147.35035995886184
0.1907210604502342,21.13339046966061,65.68095074848588,147.35035995886184
0.1907210604502342,21.13339046966061,65.68095074848588,147.35035995886184
0.1907210604502342,21.13339046966061,65.68095074848588,147.35035995886184
0.1907210604502342,21.13339046966061,65.68095074848588,147.35035995886184
0.1907210604502342,21.13339046966061,65.68095074848588,147.35035995886184
0.1907210604502342,21.13339046966061,65.68095074848588,147.35035995886184
0.1907210604502342,21.13339046966061,65.68095074848588,147.35035995886184
0.1907210604502342,21.13339046966061,65.68095074848588,147.35035995886184
0.1907210604502342,21.13339046966061,65.68095074848588,147.35035995886184
0.1907210604502342,21.13339046966061,65.68095074848588,147.35035995886184
0.1907210604502342,21.13339046966061,65.68095074848588,147.35035995886184
0.1907210604502342,21.13339046966061,65.68095074848588,147.35035995886184
0.1907210604502342,21.13339046966061,65.68095074848588,147.35035995886184
0.1907210604502342,21.13339046966061,65.68095074848588,147.35035995886184
0.1907210604502342,21.13339046966061,65.68095074848588,147.35035995886184
0.1907210604502342,21.13339046966061,65.68095074848588,147.35035995886184
0.1907210604502342,21.13339046966061,65.68095074848588,147.35035995886184
0.1907210604502342,21.13339046966061,65.68095074848588,147.35035995886184
0.1907210604502342,21.13339046966061,65.68095074848588,147.35035995886184
0.1907210604502342,21.13339046966061,65.68095074848588,147.35035995886184
0.1907210604502342,21.13339046966061,65.68095074848588,147.35035995886184
0.1907210604502342,21.13339046966061,65.68095074848588,147.35035995886184
0.1907210604502342,21.13339046966061,65.68095074848588,147.35035995886184
0.1907210604502342,21.13339046966061,65.68095074848588,147.35035995886184
0.1907210604502342,21.13339046966061,65.68095074848588,147.35035995886184
0.1907210604502342,21.13339046966061,65.68095074848588,147.35035995886184
0.1907210604502342,21.13339046966061,65.68095074848588,147.35035995886184
0.1907210604502342,21.13339046966061,65.68095074848588,147.35035995886184
0.1907210604502342,21.13339046966061,65.68095074848588,147.35035995886184
0.1907210604502342,21.13339046966061,65.68095074848588,147.35035995886184
0.1907210604502342,21.13339046966061,65.68095074848588,147.35035995886184
0.1907210604502342,21.13339046966061,65.68095074848588,147.35035995886184
0.1907210604502342,21.13339046966061,65.68095074848588,147.35035995886184
0.1907210604502342,21.13339046966061,65.68095074848588,147.35035995886184
0.1907210604502342,21.13339046966061,65.68095074848588,147.35035995886184
0.1907210604502342,21.13339046966061,65.68095074848588,147.35035995886184
0.1907210604502342,21.13339046966061,65.68095074848588,147.35035995886184
0.1907210604502342,21.13339046966061,65.68095074848588,147.35035995886184
0.0,26.0,53.0,147.35035995886184
0.0,25.9,54.0,305.0
0.0,26.7,51.0,294.0
0.0,25.9,55.0,296.0
0.0,24.6,60.0,327.0
0.0,22.6,72.0,4.0
0.0,22.2,75.0,360.0
0.0,21.8,75.0,344.0
0.0,21.5,76.0,345.0
0.0,21.1,78.0,351.0
0.0,20.8,80.0,335.0
0.0,19.9,87.0,323.0
0.0,19.8,91.0,115.0
0.4,19.4,92.0,325.0
0.0,19.1,93.0,320.0
0.0,19.2,93.0,13.0
0.0,19.3,93.0,36.0
0.0,20.3,92.0,345.0
0.0,22.0,78.0,325.0
0.0,22.1,77.0,336.0
0.0,22.7,76.0,358.0
0.2,22.9,75.0,8.0
1.0,21.1,83.0,271.0
0.0,20.3,84.0,346.0
5.2,18.9,93.0,342.0
4.0,18.6,93.0,339.0
0.6,19.1,89.0,350.0
0.0,19.0,85.0,5.0
0.0,18.7,86.0,338.0
0.0,18.4,88.0,353.0
0.0,18.3,90.0,360.0
0.0,18.4,92.0,279.0
0.4,18.4,92.0,332.0
0.0,18.3,92.0,78.0
0.0,17.9,93.0,262.0
0.4,18.4,93.0,169.0
0.4,18.0,93.0,321.0
0.0,17.6,93.0,313.0
0.0,18.0,92.0,344.0
0.0,17.9,91.0,328.0
0.0,17.7,92.0,279.0
0.0,18.8,90.0,281.0
0.0,19.4,88.0,305.0
0.0,20.5,84.0,309.0
0.0,21.5,78.0,305.0
0.0,22.4,70.0,319.0
0.8,20.3,87.0,296.0
2.2,22.3,74.0,331.0
0.0,22.6,71.0,329.0
0.0,22.6,68.0,320.0
0.0,21.5,75.0,296.0
8.8,19.2,88.0,19.0
15.0,18.4,92.0,284.0
2.4,18.0,93.0,352.0
0.0,18.1,93.0,301.0
0.2,18.2,93.0,3.0
0.6,18.0,93.0,350.0
0.4,17.9,93.0,323.0
0.0,17.8,93.0,342.0
0.0,17.9,93.0,312.0
0.0,17.7,93.0,274.0
0.0,17.7,93.0,330.0
0.0,17.5,93.0,351.0
0.0,17.2,93.0,344.0
0.2,17.1,92.0,326.0
0.0,18.5,89.0,353.0
0.0,19.7,82.0,339.0
0.0,21.8,75.0,354.0
0.0,23.6,64.0,4.0
0.0,23.6,61.0,11.0
